bulan,kab,medium,premium,total
Januari,[3201] Bogor,12600,12500,12571
Januari,[3202] Sukabumi,,13744,13744
Januari,[3203] Cianjur,14800,13809,13892
Januari,[3204] Bandung,15000,14175,14529
Januari,[3205] Garut,14000,13625,13786
Januari,[3206] Tasikmalaya,13500,13243,13275
Januari,[3207] Ciamis,12250,12850,12650
Januari,[3208] Kuningan,12833,12600,12800
Januari,[3209] Cirebon,11333,12850,12200
Januari,[3210] Majalengka,12000,13500,12167
Januari,[3211] Sumedang,,13417,13417
Januari,[3212] Indramayu,13250,12500,12875
Januari,[3213] Subang,12388,,12388
Januari,[3214] Purwakarta,13000,,13000
Januari,[3215] Karawang,12640,12733,12675
Januari,[3216] Bekasi,12000,12700,12583
Januari,[3217] Bandung Barat,12900,,12900
Januari,[3218] Pangandaran,,13000,13000
Februari,[3201] Bogor,12600,12500,12571
Februari,[3202] Sukabumi,,13356,13356
Februari,[3203] Cianjur,,13908,13908
Februari,[3204] Bandung,15000,14450,14686
Februari,[3205] Garut,13786,,13786
Februari,[3206] Tasikmalaya,13500,13543,13538
Februari,[3207] Ciamis,12350,12975,12767
Februari,[3208] Kuningan,12900,,12900
Februari,[3209] Cirebon,12000,12314,12275
Februari,[3210] Majalengka,12000,13500,12167
Februari,[3211] Sumedang,,13650,13650
Februari,[3212] Indramayu,13320,13660,13490
Februari,[3213] Subang,12544,,12544
Februari,[3214] Purwakarta,13167,,13167
Februari,[3215] Karawang,12850,13367,13022
Februari,[3216] Bekasi,12300,13200,13050
Februari,[3217] Bandung Barat,12750,,12750
Februari,[3218] Pangandaran,,13000,13000
Maret,[3201] Bogor,12800,12400,12686
Maret,[3202] Sukabumi,,13556,13556
Maret,[3203] Cianjur,,13717,13717
Maret,[3204] Bandung,15000,14300,14600
Maret,[3205] Garut,13786,,13786
Maret,[3206] Tasikmalaya,13500,12757,12850
Maret,[3207] Ciamis,12450,13075,12867
Maret,[3208] Kuningan,13180,13000,13129
Maret,[3209] Cirebon,12433,13250,12978
Maret,[3210] Majalengka,12000,12750,12166,66667
Maret,[3211] Sumedang,,13667,13667
Maret,[3212] Indramayu,13370,13360,13365
Maret,[3213] Subang,12378,,12378
Maret,[3214] Purwakarta,13000,,13000
Maret,[3215] Karawang,13100,12767,12989
Maret,[3216] Bekasi,12300,13460,13267
Maret,[3217] Bandung Barat,13250,,13250
Maret,[3218] Pangandaran,,13500,13500
April,[3201] Bogor,12750,12333,12571
April,[3202] Sukabumi,,13000,13000
April,[3203] Cianjur,,13536,13536
April,[3204] Bandung,15000,13733,14367
April,[3205] Garut,13786,,13786
April,[3206] Tasikmalaya,13500,13543,13538
April,[3207] Ciamis,12125,12625,12458
April,[3208] Kuningan,13000,13000,13000
April,[3209] Cirebon,11733,12540,12237
April,[3210] Majalengka,12000,13500,12167
